Description,Designator,Quantity,LCSC

"CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C1, C7, C10, C11, C13, C14, C15, C16, C17, C20, C22, C23, C26, C27","14","C60474"
"CAPACITOR,CERAMIC,22uF,16V,X5R,0603","C2, C3, C4, C5","4","C2762594"
"CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C6, C8, C9, C12, C24, C25","6","C1705"
"CAPACITOR,CERAMIC,15pF,50V,C0G,0402","C18, C19","2","C3906764"
"DIODE,TVS,DUAL,UNIDIRECTIONAL,USB","D1","1","C22358704"
"LED,BLUE,0603","D2","1","C965807"
"USB-C, RIGHT ANGLE, [NoValue], RESISTOR,100R,1%,100mW,0603 (1608), IC,PMIC,IDEAL DIODE ORING CONTROLLER","J1, J2, R9, SW1, SW2, SW3, U1, U2","8",""
"IND,4.7uH,1.06A,3X3, NRH3012T4R7MN","L1","1","C5159666, C42429096"
"RESISTOR,5K1,1%,63mW,0402 (1005)","R1, R3","2","C105872"
"RESISTOR,27R,1%,63mW,0402 (1005)","R4, R5","2","C138021"
"RESISTOR,10K,1%,63mW,0402 (1005)","R6, R7","2","C60490"
"RESISTOR,1K,1%,63mW,0402 (1005)","R8, R10","2","C106235"
"IC,FLASH,QSPI,16Mx8","U3","1","C97521"
"IC,PMIC,STEP-DOWN, 2A 3.3V","U4","1","C780769"
"IC,VOLTAGE REFERENCE,3.0V","U5","1","C460608"
"IC,RTC,I2C,DS3231M","U6","1","C107410"
"XTAL,12MHZ,RP2350","X1","1","C20625731"
