Altium Designer Pick and Place Locations
C:\GitHub\DIP2040\CAD\.\Production\Pick Place for DIP2040.txt

========================================================================================================================
File Design Information:

Date:       04/07/25
Time:       21:09
Revision:   13c79fca2dca9a7c836d70bfce31b6a7ca9dc39d
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                            
J7         CONN-TESTPAD-1.5X1-2MMP-3   TopLayer    CONN-TESTPAD-1.5X1-2MMP-3      0.000         -955.709      180      ""                                     
C27        CAP0402                     BottomLayer CAPC0402                       -169.291      -452.756      270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402   
J2         DIP40-SOCKET                TopLayer    CONN-DIP40-SOCKET              0.000         0.000         0        ""                                     
U2         RP2040                      TopLayer    QFN40P700X700X90-56N-TH310X310 0.000         0.000         0        ""                                     
X1         ABM8-272-T3                 TopLayer    XTAL-ABRACON-ABM8-272-T3       -66.929       -326.772      90       XTAL,12MHZ,RP2350                      
U6         DS3231M                     BottomLayer SO127P600-8N                   0.000         -401.575      180      IC,RTC,I2C,DS3231M                     
U5         LM4040-3.0                  BottomLayer SOT23                          -130.905      -224.409      180      "IC,VOLTAGE REFERENCE,3.0V"            
U4         AP63203Q                    BottomLayer SOT23-6                        31.496        -659.449      0        "IC,PMIC,STEP-DOWN, 2A 3.3V"           
U1         XC8110                      BottomLayer SOT23-5                        -23.622       594.488       180      "IC,PMIC,IDEAL DIODE ORING CONTROLLER" 
R9         RESC0603                    BottomLayer RES0603                        -148.622      -127.953      180      "RESISTOR,100R,1%,100mW,0603 (1608)"   
L1         4.7uH                       BottomLayer IND-ABRACON-ASPI-3012S-3R9N-T  27.559        -805.118      180      "IND,4.7uH,1.06A,3X3, NRH3012T4R7MN"   
J6         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                    173.228       -244.095      270      ""                                     
J5         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                    212.598       408.465       0        ""                                     
J4         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                    216.535       716.535       180      ""                                     
J3         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                    -62.992       472.441       0        ""                                     
D2         BLUE                        TopLayer    LED-0603-BLUE                  -0.003        673.231       90       LED,BLUE,0603                          
D1         TVS-WURTH-824011            BottomLayer SOT23-5                        145.669       519.685       180      DIODE,TVS,DUAL,UNIDIRECTIONAL,USB      
C26        CAP0402                     BottomLayer CAPC0402                       165.354       -394.685      270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402   
C25        CAP0402                     BottomLayer CAPC0402                       106.299       43.307        270      CAPACITOR,CERAMIC,4u7,10V,X5R,0402     
C24        CAP0402                     BottomLayer CAPC0402                       66.929        43.307        270      CAPACITOR,CERAMIC,4u7,10V,X5R,0402     
C23        CAP0402                     TopLayer    CAPC0402                       -31.496       204.724       90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402   
C22        CAP0402                     TopLayer    CAPC0402                       74.803        -224.409      270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402   
